Table S4. List of predicted carcinogenic pollutants from the petrochemical industry.,,,,,,,,
Compound_CID,Name,Molecular_Formula,InChI,SMILES,InChIKey,IUPAC_Name,Molecular_Weight,Probability
7351,Isobutyl isobutyrate,C8H16O2,"InChI=1S/C8H16O2/c1-6(2)5-10-8(9)7(3)4/h6-7H,5H2,1-4H3",CC(C)COC(=O)C(C)C,RXGUIWHIADMCFC-UHFFFAOYSA-N,2-methylpropyl 2-methylpropanoate,144.21,0.6336
7504,Benzylamine,C7H9N,"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2",C1=CC=C(C=C1)CN,WGQKYBSKWIADBV-UHFFFAOYSA-N,phenylmethanamine,107.15,0.691
7505,Benzonitrile,C7H5N,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,C1=CC=C(C=C1)C#N,JFDZBHWFFUWGJE-UHFFFAOYSA-N,benzonitrile,103.12,0.7137
7519,Anisole,C7H8O,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",COC1=CC=CC=C1,RDOXTESZEPMUJZ-UHFFFAOYSA-N,anisole,108.14,0.8879
7520,Thioanisole,C7H8S,"InChI=1S/C7H8S/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",CSC1=CC=CC=C1,HNKJADCVZUBCPG-UHFFFAOYSA-N,methylsulfanylbenzene,124.21,0.6903
7539,"1,2,3-Triphenylguanidine",C19H17N3,"InChI=1S/C19H17N3/c1-4-10-16(11-5-1)20-19(21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H,(H2,20,21,22)",C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)NC3=CC=CC=C3,FUPAJKKAHDLPAZ-UHFFFAOYSA-N,"1,2,3-triphenylguanidine",287.4,0.5655
7554,"1,1,3-Triethoxyhexane",C12H26O3,"InChI=1S/C12H26O3/c1-5-9-11(13-6-2)10-12(14-7-3)15-8-4/h11-12H,5-10H2,1-4H3",CCCC(CC(OCC)OCC)OCC,SYPLTTUVUZHTJR-UHFFFAOYSA-N,"1,1,3-triethoxyhexane",218.33,0.6254
7588,Phenacaine,C18H22N2O2,"InChI=1S/C18H22N2O2/c1-4-21-17-10-6-15(7-11-17)19-14(3)20-16-8-12-18(13-9-16)22-5-2/h6-13H,4-5H2,1-3H3,(H,19,20)",CCOC1=CC=C(C=C1)NC(=NC2=CC=C(C=C2)OCC)C,QXDAEKSDNVPFJG-UHFFFAOYSA-N,"N,N'-bis(4-ethoxyphenyl)ethanimidamide",298.4,0.7601
7591,Ethyl N-phenylcarbamate,C9H11NO2,"InChI=1S/C9H11NO2/c1-2-12-9(11)10-8-6-4-3-5-7-8/h3-7H,2H2,1H3,(H,10,11)",CCOC(=O)NC1=CC=CC=C1,LBKPGNUOUPTQKA-UHFFFAOYSA-N,ethyl N-phenylcarbamate,165.19,0.6578
7614,"5-Octen-4-ol, 2,7-dimethyl-, acetate",C12H22O2,"InChI=1S/C12H22O2/c1-10(2)5-6-12(9-11(3)4)14-8-7-13/h5,7,11-12H,6,8-9H2,1-4H3",CC(C)CC(CC=C(C)C)OCC=O,WPZHLSFMGCSZMV-UHFFFAOYSA-N,"2-(2,7-dimethyloct-6-en-4-yloxy)acetaldehyde",198.3,0.6272
7770,Propyl butyrate,C7H14O2,"InChI=1S/C7H14O2/c1-3-5-7(8)9-6-4-2/h3-6H2,1-2H3",CCCC(=O)OCCC,HUAZGNHGCJGYNP-UHFFFAOYSA-N,propyl butanoate,130.18,0.6867
7809,P-Xylene,C8H10,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",CC1=CC=C(C=C1)C,URLKBWYHVLBVBO-UHFFFAOYSA-N,"1,4-xylene",106.16,0.8794
7843,Butane,C4H10,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",CCCC,IJDNQMDRQITEOD-UHFFFAOYSA-N,butane,58.12,0.7731
7844,1-Butene,C4H8,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3",CCC=C,VXNZUUAINFGPBY-UHFFFAOYSA-N,but-1-ene,56.11,0.8942
7915,Isopropyl Acetate,C5H10O2,"InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3",CC(C)OC(=O)C,JMMWKPVZQRWMSS-UHFFFAOYSA-N,propan-2-yl acetate,102.13,0.7917
7918,Acetic Anhydride,C4H6O3,InChI=1S/C4H6O3/c1-3(5)7-4(2)6/h1-2H3,CC(=O)OC(=O)C,WFDIJRYMOXRFFG-UHFFFAOYSA-N,acetyl acetate,102.09,0.7039
7923,Maleic Anhydride,C4H2O3,InChI=1S/C4H2O3/c5-3-1-2-4(6)7-3/h1-2H,C1=CC(=O)OC1=O,FPYJFEHAWHCUMM-UHFFFAOYSA-N,"furan-2,5-dione",98.06,0.7534
7929,M-Xylene,C8H10,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",CC1=CC(=CC=C1)C,IVSZLXZYQVIEFR-UHFFFAOYSA-N,"1,3-xylene",106.16,0.8072
7949,"3,5-Dimethylaniline",C8H11N,"InChI=1S/C8H11N/c1-6-3-7(2)5-8(9)4-6/h3-5H,9H2,1-2H3",CC1=CC(=CC(=C1)N)C,MKARNSWMMBGSHX-UHFFFAOYSA-N,"3,5-dimethylaniline",121.18,0.7233
7950,"1,3,5-Trichlorobenzene",C6H3Cl3,InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H,C1=C(C=C(C=C1Cl)Cl)Cl,XKEFYDZQGKAQCN-UHFFFAOYSA-N,"1,3,5-trichlorobenzene",181.4,0.7763
7966,Cyclohexanol,C6H12O,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",C1CCC(CC1)O,HPXRVTGHNJAIIH-UHFFFAOYSA-N,cyclohexanol,100.16,0.675
7997,Propyl Acetate,C5H10O2,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",CCCOC(=O)C,YKYONYBAUNKHLG-UHFFFAOYSA-N,propyl acetate,102.13,0.6618
8004,1-Pentene,C5H10,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3",CCCC=C,YWAKXRMUMFPDSH-UHFFFAOYSA-N,pent-1-ene,70.13,0.7982
8019,2-Methoxyethanol,C3H8O2,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",COCCO,XNWFRZJHXBZDAG-UHFFFAOYSA-N,2-methoxyethanol,76.09,0.6513
8038,Isobutyl Acetate,C6H12O2,"InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3",CC(C)COC(=O)C,GJRQTCIYDGXPES-UHFFFAOYSA-N,2-methylpropyl acetate,116.16,0.6929
8078,Cyclohexane,C6H12,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,C1CCCCC1,XDTMQSROBMDMFD-UHFFFAOYSA-N,cyclohexane,84.16,0.8267
8079,Cyclohexene,C6H10,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2",C1CCC=CC1,HGCIXCUEYOPUTN-UHFFFAOYSA-N,cyclohexene,82.14,0.8327
8145,"1,5-Dimethoxypentane",C7H16O2,"InChI=1S/C7H16O2/c1-8-6-4-3-5-7-9-2/h3-7H2,1-2H3",COCCCCCOC,NFCBHIFOKVDBCJ-UHFFFAOYSA-N,"1,5-dimethoxypentane",132.2,0.6163
