#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0033043	Regulation of organelle organization	14	1190	0.9	1.15	1.98e-08	9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000362680,9606.ENSP00000376345,9606.ENSP00000398698,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	EP300,IL1B,PIK3CA,EGF,TP53,ATM,SRC,GRB2,TNF,BRCA1,PIK3R1,AKT1,MYC,CTNNB1
GO:0044087	Regulation of cellular component biogenesis	13	971	0.96	1.24	2.26e-08	9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000376345,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000489597	EP300,IL1B,PIK3CA,TP53,ATM,PTEN,SRC,GRB2,TNF,ESR1,BRCA1,PIK3R1,PTPN11
GO:0050731	Positive regulation of peptidyl-tyrosine phosphorylation	8	194	1.45	2.11	2.40e-08	9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000489597	EGF,TP53,EGFR,SRC,JAK2,IL6,TNF,PTPN11
GO:1901987	Regulation of cell cycle phase transition	10	431	1.2	1.67	2.46e-08	9606.ENSP00000227507,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000381185,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000489597	CCND1,TP53,EGFR,ATM,PTEN,BRCA2,BCL2,BRCA1,AKT1,PTPN11
GO:0002683	Negative regulation of immune system process	10	433	1.2	1.66	2.56e-08	9606.ENSP00000269571,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000398698,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	ERBB2,ATM,RUNX1,PTEN,SRC,TNF,PIK3R1,AKT1,MYC,CTNNB1
GO:1901653	Cellular response to peptide	9	302	1.31	1.86	2.57e-08	9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000398698,9606.ENSP00000428056,9606.ENSP00000451828	PIK3CA,STAT3,TP53,SRC,JAK2,GRB2,TNF,PIK3R1,AKT1
GO:0043406	Positive regulation of MAP kinase activity	7	116	1.61	2.34	2.70e-08	9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000398698	IL1B,FGF2,EGF,ERBB2,EGFR,SRC,TNF
GO:0009894	Regulation of catabolic process	13	988	0.95	1.22	2.72e-08	9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828	EP300,IL1B,PIK3CA,STAT3,EGF,TP53,EGFR,ATM,PTEN,BCL2,IL6,TNF,AKT1
GO:0031329	Regulation of cellular catabolic process	12	789	1.01	1.33	3.16e-08	9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828	EP300,IL1B,PIK3CA,STAT3,EGF,TP53,ATM,PTEN,BCL2,IL6,TNF,AKT1
GO:0061180	Mammary gland epithelium development	6	61	1.82	2.57	3.38e-08	9606.ENSP00000227507,9606.ENSP00000264498,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000405330,9606.ENSP00000451828	CCND1,FGF2,SRC,JAK2,ESR1,AKT1
GO:1904705	Regulation of vascular associated smooth muscle cell proliferation	6	61	1.82	2.57	3.38e-08	9606.ENSP00000264498,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000398698	FGF2,JUN,PTEN,SRC,JAK2,TNF
GO:0003006	Developmental process involved in reproduction	13	1023	0.94	1.19	4.03e-08	9606.ENSP00000227507,9606.ENSP00000263341,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000405330,9606.ENSP00000451828,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,IL1B,EGFR,ATM,PTEN,SRC,BRCA2,GRB2,BCL2,ESR1,AKT1,PTPN11,CTNNB1
GO:0046649	Lymphocyte activation	10	457	1.17	1.6	4.05e-08	9606.ENSP00000263253,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000428056,9606.ENSP00000495360	EP300,STAT3,TP53,ERBB2,ATM,PTEN,BCL2,IL6,PIK3R1,CTNNB1
GO:2000278	Regulation of DNA biosynthetic process	7	124	1.58	2.26	4.05e-08	9606.ENSP00000264498,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000362680,9606.ENSP00000398698,9606.ENSP00000478887,9606.ENSP00000495360	FGF2,TP53,ATM,SRC,TNF,MYC,CTNNB1
