#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04658	Th1 and Th2 cell differentiation	2	85	1.2	0.61	0.0170	9606.ENSP00000360266,9606.ENSP00000371067	JUN,JAK2
hsa05410	Hypertrophic cardiomyopathy	2	88	1.19	0.6	0.0180	9606.ENSP00000385675,9606.ENSP00000398698	IL6,TNF
hsa04060	Cytokine-cytokine receptor interaction	3	282	0.86	0.5	0.0191	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
hsa04916	Melanogenesis	2	95	1.16	0.58	0.0205	9606.ENSP00000263253,9606.ENSP00000495360	EP300,CTNNB1
hsa04061	Viral protein interaction with cytokine and cytokine receptor	2	96	1.15	0.57	0.0208	9606.ENSP00000385675,9606.ENSP00000398698	IL6,TNF
hsa04922	Glucagon signaling pathway	2	100	1.13	0.56	0.0223	9606.ENSP00000263253,9606.ENSP00000451828	EP300,AKT1
hsa04928	Parathyroid hormone synthesis, secretion and action	2	104	1.12	0.55	0.0238	9606.ENSP00000275493,9606.ENSP00000381185	EGFR,BCL2
hsa05014	Amyotrophic lateral sclerosis	3	350	0.77	0.42	0.0330	9606.ENSP00000269305,9606.ENSP00000381185,9606.ENSP00000398698	TP53,BCL2,TNF
hsa04371	Apelin signaling pathway	2	133	1.01	0.47	0.0372	9606.ENSP00000227507,9606.ENSP00000451828	CCND1,AKT1
hsa04261	Adrenergic signaling in cardiomyocytes	2	146	0.97	0.44	0.0439	9606.ENSP00000381185,9606.ENSP00000451828	BCL2,AKT1
