#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0140110	Transcription regulator activity	11	1931	0.59	0.45	0.0059	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,EP300,FGF2,STAT3,TP53,RUNX1,JUN,ESR1,BRCA1,MYC,CTNNB1
GO:0005168	Neurotrophin TRKA receptor binding	2	6	2.35	0.9	0.0063	9606.ENSP00000376345,9606.ENSP00000428056	GRB2,PIK3R1
GO:0016922	Nuclear receptor binding	4	141	1.28	0.76	0.0063	9606.ENSP00000263253,9606.ENSP00000362680,9606.ENSP00000405330,9606.ENSP00000495360	EP300,SRC,ESR1,CTNNB1
GO:0004713	Protein tyrosine kinase activity	4	146	1.27	0.74	0.0068	9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000371067	ERBB2,EGFR,SRC,JAK2
GO:0030159	Signaling receptor complex adaptor activity	3	52	1.59	0.81	0.0072	9606.ENSP00000376345,9606.ENSP00000428056,9606.ENSP00000489597	GRB2,PIK3R1,PTPN11
GO:0010484	H3 histone acetyltransferase activity	2	7	2.29	0.87	0.0073	9606.ENSP00000263253,9606.ENSP00000369497	EP300,BRCA2
GO:0031625	Ubiquitin protein ligase binding	5	299	1.06	0.66	0.0073	9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000360266,9606.ENSP00000381185,9606.ENSP00000418960	TP53,EGFR,JUN,BCL2,BRCA1
GO:0140296	General transcription initiation factor binding	3	53	1.58	0.81	0.0073	9606.ENSP00000269305,9606.ENSP00000360266,9606.ENSP00000405330	TP53,JUN,ESR1
GO:0030546	Signaling receptor activator activity	6	506	0.91	0.59	0.0079	9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000275493,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,FGF2,EGF,EGFR,IL6,TNF
GO:0005178	Integrin binding	4	159	1.23	0.71	0.0083	9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000346839,9606.ENSP00000362680	IL1B,FGF2,FN1,SRC
GO:0030235	Nitric-oxide synthase regulator activity	2	8	2.23	0.85	0.0083	9606.ENSP00000405330,9606.ENSP00000451828	ESR1,AKT1
