#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
DOID:820	Myocarditis	3	11	2.27	1.77	3.61e-05	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
DOID:9351	Diabetes mellitus	5	122	1.44	1.42	3.73e-05	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828	IL1B,STAT3,IL6,TNF,AKT1
DOID:863	Nervous system disease	14	2275	0.62	0.62	3.78e-05	9606.ENSP00000227507,9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000495360	CCND1,IL1B,FGF2,STAT3,TP53,ERBB2,EGFR,ATM,PTEN,BCL2,IL6,TNF,AKT1,CTNNB1
DOID:65	Connective tissue disease	9	774	0.9	0.9	3.92e-05	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000300305,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000489597,9606.ENSP00000495360	IL1B,STAT3,TP53,RUNX1,IL6,TNF,ESR1,PTPN11,CTNNB1
DOID:2316	Brain ischemia	3	12	2.23	1.73	4.37e-05	9606.ENSP00000263341,9606.ENSP00000381185,9606.ENSP00000385675	IL1B,BCL2,IL6
DOID:9471	Meningitis	3	12	2.23	1.73	4.37e-05	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
DOID:403	Mouth disease	5	130	1.42	1.37	4.83e-05	9606.ENSP00000263341,9606.ENSP00000269305,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330	IL1B,TP53,IL6,TNF,ESR1
DOID:3910	Lung adenocarcinoma	3	13	2.2	1.69	5.22e-05	9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000398698	TP53,EGFR,TNF
DOID:934	Viral infectious disease	5	133	1.41	1.36	5.30e-05	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,STAT3,TP53,IL6,TNF
DOID:3342	Bone inflammation disease	5	134	1.4	1.35	5.42e-05	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000300305,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,STAT3,RUNX1,IL6,TNF
