SMILES,molecular_weight,TPSA,NumHDonors,NumHAcceptors,MolLogP,MolMR
[H]c1c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c1[H],390.56400000000025,52.60000000000001,0,4,6.433000000000008,113.61900000000009
[H]c1c([H])c(C(=O)Cl)c(Cl)c([H])c1Cl,209.459,17.07,0,1,3.3724000000000007,46.64550000000001
[H]c1c([H])c([H])c2c([H])c3c(c([H])c2c1[H])c1c([H])c2c([H])c([H])c([H])c([H])c2c([H])c1c1c([H])c2c([H])c([H])c([H])c([H])c2c([H])c31,378.4740000000001,0.0,0,0,8.6058,131.47799999999998
[H]Oc1c([H])c([H])c(Oc2c([H])c([H])c(O[H])c(C(=O)OC([H])([H])[H])c2[H])c([H])c1C(=O)OC([H])([H])[H],318.28100000000006,102.29,2,7,2.4633000000000003,78.96660000000003
[H]c1c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2c1C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])c1c([H])c3c(c(OC([H])([H])[H])c1-2)OC([H])([H])O3,458.5070000000003,81.68,0,8,4.5492000000000035,120.74800000000005
[H]C([H])([H])C(=O)O,60.05200000000001,37.3,1,1,0.09089999999999993,13.309800000000001
[H]C([H])([H])C(=O)O,60.05200000000001,37.3,1,1,0.09089999999999993,13.309800000000001
[H]OP(=O)(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],280.34499999999997,55.760000000000005,1,3,4.382500000000004,74.49030000000006
O=P(O)(O)OP(=O)(O)O,177.973,124.29000000000002,4,3,-0.8116000000000001,25.17319999999999
[H]C(=O)O,46.025000000000006,37.3,1,1,-0.29919999999999997,8.6928
