Model,Fingerprint,FP_Count,AUC,Accuracy,F1,MCC,Sensitivity,Specificity,BA
MultiFPUnionPipeline,Pub+Kle+MAC+RDK,4,0.779132791,0.76059322,0.846675712,0.375853712,0.951219512,0.326388889,0.638804201
MultiFPUnionPipeline,Pub+ECF+MAC+Ato,4,0.779058689,0.752118644,0.841677943,0.348255356,0.948170732,0.305555556,0.626863144
MultiFPVoting,Kle+ECF+Ato+RDK,4,0.778878726,0.745762712,0.839142091,0.32562053,0.954268293,0.270833333,0.612550813
MultiFPStacking,ECF+Ato+RDK,3,0.778677591,0.752118644,0.840816327,0.349434058,0.942073171,0.319444444,0.630758808
MultiFPVoting,Pub+MAC,2,0.778561145,0.76059322,0.844137931,0.379082173,0.932926829,0.368055556,0.650491192
MultiFPVoting,Pub+Kle+Ato,3,0.778561145,0.752118644,0.841248304,0.348794079,0.945121951,0.3125,0.628810976
MultiFPUnionPipeline,Kle+ECF+MAC+Ato,4,0.778550559,0.745762712,0.84,0.325130153,0.960365854,0.256944444,0.608655149
MultiFPVoting,ECF+MAC+Ato,3,0.778349424,0.745762712,0.837837838,0.327306596,0.945121951,0.291666667,0.618394309
MultiFPUnionPipeline,Pub+Ato+RDK,3,0.778243564,0.75,0.844327177,0.342391488,0.975609756,0.236111111,0.605860434
MultiFPUnionPipeline,Pub+Ato,2,0.778211806,0.758474576,0.844262295,0.370222049,0.942073171,0.340277778,0.641175474
MultiFPVoting,Pub+MAC+Ato,3,0.778148289,0.754237288,0.84109589,0.357901677,0.93597561,0.340277778,0.638126694
MultiFPStacking,Pub+Ato,2,0.778031843,0.75,0.838356164,0.344954897,0.932926829,0.333333333,0.633130081
MultiFPVoting,Kle+ECF+RDK,3,0.777968327,0.752118644,0.843373494,0.347305926,0.960365854,0.277777778,0.619071816
MultiFPVoting,Pub+Kle,2,0.777640159,0.752118644,0.83994528,0.350987682,0.93597561,0.333333333,0.634654472
MultiFPStacking,ECF+RDK,2,0.777417852,0.747881356,0.8385346,0.335264263,0.942073171,0.305555556,0.623814363
VotingEnsemble,,1,0.777142615,0.730932203,0.829071332,0.276913228,0.93902439,0.256944444,0.597984417
MultiFPUnionPipeline,Kle+MAC+Ato+RDK,4,0.77683562,0.747881356,0.842800528,0.333902486,0.972560976,0.236111111,0.604336043
MultiFPVoting,Pub+RDK,2,0.77678269,0.75,0.837912088,0.345968264,0.929878049,0.340277778,0.635077913
MultiFPUnionPipeline,MAC+Ato+RDK,3,0.776518039,0.756355932,0.840499307,0.36851959,0.923780488,0.375,0.649390244
