Model_Key,Model_Name,Fingerprint,FP_Count,TP,TN,FP,FN,Total_Samples
MultiFPStacking_2指纹_ECF+Ato,MultiFPStacking,ECF+Ato,2,307,46,98,21,472
MultiFPUnionPipeline_2指纹_ECF+RDK,MultiFPUnionPipeline,ECF+RDK,2,308,47,97,20,472
MultiFPVoting_2指纹_ECF+RDK,MultiFPVoting,ECF+RDK,2,310,47,97,18,472
MultiFPStacking_2指纹_ECF+RDK,MultiFPStacking,ECF+RDK,2,309,44,100,19,472
MultiFPUnionPipeline_2指纹_MAC+Ato,MultiFPUnionPipeline,MAC+Ato,2,314,29,115,14,472
MultiFPVoting_2指纹_MAC+Ato,MultiFPVoting,MAC+Ato,2,304,45,99,24,472
MultiFPStacking_2指纹_MAC+Ato,MultiFPStacking,MAC+Ato,2,307,53,91,21,472
MultiFPUnionPipeline_2指纹_MAC+RDK,MultiFPUnionPipeline,MAC+RDK,2,311,50,94,17,472
MultiFPVoting_2指纹_MAC+RDK,MultiFPVoting,MAC+RDK,2,309,50,94,19,472
MultiFPStacking_2指纹_MAC+RDK,MultiFPStacking,MAC+RDK,2,306,51,93,22,472
MultiFPUnionPipeline_2指纹_Ato+RDK,MultiFPUnionPipeline,Ato+RDK,2,308,47,97,20,472
MultiFPVoting_2指纹_Ato+RDK,MultiFPVoting,Ato+RDK,2,309,43,101,19,472
MultiFPStacking_2指纹_Ato+RDK,MultiFPStacking,Ato+RDK,2,312,46,98,16,472
MultiFPUnionPipeline_3指纹_Pub+Kle+ECF,MultiFPUnionPipeline,Pub+Kle+ECF,3,316,41,103,12,472
MultiFPVoting_3指纹_Pub+Kle+ECF,MultiFPVoting,Pub+Kle+ECF,3,309,44,100,19,472
MultiFPStacking_3指纹_Pub+Kle+ECF,MultiFPStacking,Pub+Kle+ECF,3,306,49,95,22,472
MultiFPUnionPipeline_3指纹_Pub+Kle+MAC,MultiFPUnionPipeline,Pub+Kle+MAC,3,306,55,89,22,472
MultiFPVoting_3指纹_Pub+Kle+MAC,MultiFPVoting,Pub+Kle+MAC,3,306,47,97,22,472
MultiFPStacking_3指纹_Pub+Kle+MAC,MultiFPStacking,Pub+Kle+MAC,3,304,54,90,24,472
